total 187 case




case name -->  ogles2_auifillrate 		result -->  GOOD_REF 		Variant name -->  test36
case name -->  ogl_randomfans 		result -->  GOOD 		Variant name -->  65t_g
case name -->  dx_randomtriangles_4xmsaa 		result -->  GOOD_REF 		Variant name -->  500t_g
case name -->  ogl_addressmodes 		result -->  GOOD 		Variant name -->  2101010_fpmn_128x64
case name -->  ogl_addressmodes 		result -->  GOOD 		Variant name -->  565_fbmt_256x256
case name -->  dx_randomfans 		result -->  GOOD_REF 		Variant name -->  2t_g
case name -->  ogl_alphatestintersecttris 		result -->  GOOD 		Variant name -->  normal
case name -->  dx_pixelshader 		result -->  GOOD_REF 		Variant name -->  texkill
case name -->  ogl_randomlines_2xmsaa 		result -->  GOOD 		Variant name -->  256l_g
case name -->  dx_randomtriangles 		result -->  GOOD_REF 		Variant name -->  500t_f_8888_fpmn
case name -->  dx_filter 		result -->  GOOD 		Variant name -->  u16u16_fallmall
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  image_read_rgba_unsigned_int32_f0
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  image_write_rgba_unsigned_int32_f0
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_loop
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_if
case name -->  ogl_randomlines_4xmsaa 		result -->  GOOD 		Variant name -->  65l_g
case name -->  dx11_shell 		result -->  GOOD_REF 		Variant name -->  tri640_2xmsaa
case name -->  ogl_primitiverestart 		result -->  GOOD 		Variant name -->  normal_backfacecull
case name -->  ogl_primitiverestart 		result -->  GOOD 		Variant name -->  triangle_strip_32bit_0xffff_shiftup_0xff
case name -->  ogl_primitiverestart 		result -->  GOOD 		Variant name -->  triangles_32bit_0xffff_shiftup_0xff
case name -->  es2_milestone_3 		result -->  GOOD 		Variant name -->  milestone
case name -->  dx_randomfans_pointfilled_2xmsaa 		result -->  GOOD_REF 		Variant name -->  1t_g_8888_fpmn
case name -->  dx10_driverscripts 		result -->  GOOD_REF 		Variant name -->  mipmaplevels
case name -->  dx10_driverscripts 		result -->  GOOD 		Variant name -->  depthbias
case name -->  ogl_randomfans_pointfilled_2xmsaa 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomfans_pointfilled_2xmsaa 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  dx_randomtriangles_pointfilled_4xmsaa 		result -->  GOOD_REF 		Variant name -->  1t_f_8888_fpmn
case name -->  dx_randomtriangles_pointfilled_4xmsaa 		result -->  GOOD_REF 		Variant name -->  1t_g_8888_fpmn
case name -->  ogl_clipping 		result -->  GOOD 		Variant name -->  triangles_g_front_linefilled_back_pointfilled_noplanes
case name -->  ogl_clipping 		result -->  GOOD 		Variant name -->  triangles_f_front_linefilled_back_pointfilled_4planes
case name -->  ogl_clipping 		result -->  GOOD_REF 		Variant name -->  points_size400_4planes
case name -->  ogl_clipping 		result -->  GOOD 		Variant name -->  tristrip_flat_wf_4planes
case name -->  dx_randomtriangles_linefilled_2xmsaa 		result -->  GOOD_REF 		Variant name -->  2t_g
case name -->  dx_randomtriangles_linefilled_2xmsaa 		result -->  GOOD_REF 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  ogl_randompoints 		result -->  GOOD 		Variant name -->  1p_g_sp
case name -->  ogl_randompoints_4xmsaa 		result -->  GOOD 		Variant name -->  65t_g
case name -->  ogl_randomfans_2xmsaa 		result -->  GOOD 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  ogl_randomfans_2xmsaa 		result -->  GOOD 		Variant name -->  1t_g_8888_fpmn
case name -->  dx_randompoints_2xmsaa 		result -->  GOOD_REF 		Variant name -->  2t_g
case name -->  ogl_multiframe_2xmsaa 		result -->  GOOD 		Variant name -->  1t_f_2frames
case name -->  ogl_wireframe 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_lenna
case name -->  ogl_wireframe 		result -->  GOOD 		Variant name -->  8888_fpmn
